Price(Rs),Product Info,Variation,Custom Id,Product Number,Status,Categories
73499,HMN-32100BEGB - 32L Grill Microwave Oven,Black,HMN-32100BEGB,20231227150718212seuFvbgo,active,Home Appliances/Microwave Ovens/Grill Series
84599,HMN-62MX80 - 62L Solo Microwave Oven,Black,HMN-62MX80,20231227145441324qvRfdhIV,active,Home Appliances/Microwave Ovens/Solo Series
80999,HGL-30100 - 30L Rotisserie/Grill/Convection/Baking Microwave Oven,Black,HGL-30100,20231227130051759lwjrJXIF,active,Home Appliances/Microwave Ovens/Convection and Rotisserie Series
86900,HGL-45200 - 45L Grill Microwave Oven,Black,HGL-45200,20231227124922949sfZyIuJx,inactive,Home Appliances/Microwave Ovens/Grill Series
66499,HGL-25200 - 25L Grill Microwave Oven,Black,HGL-25200,20231227124021186AgQlFFIM,inactive,Home Appliances/Microwave Ovens/Grill Series
64499,HGL-23100 - 23L Grill Microwave Oven,White,HGL-23100,20231227122723822dUWDuSVq,inactive,Home Appliances/Microwave Ovens/Grill Series
62199,HGL-25MXP8 - 25 L Solo Microwave Oven,Black,HGL-25MXP8,20231227120816252hpzLyFUG,active,Home Appliances/Microwave Ovens/Solo Series
54599,HGL-20MXP8 - 20L Solo Microwave Oven,Black,HGL-20MXP8,20231227120046957jYuTGkFU,active,Home Appliances/Microwave Ovens/Solo Series
54599,HGL-20MXP7 - 20L Solo Microwave Oven,HGL-20MXP7,HGL-20MXP7,20231226115533835FCxqJkDj,active,Home Appliances/Microwave Ovens/Solo Series
378999,H75P7UX - 75 Inch Google TV,75 inches,H75P7UX,20231222174029341fUhLohsV,active,Home Appliances/Televisions/4K Smart Series
231999,H65P7UX - 65 Inch Google TV,65 Inches,H65P7UX,20231222173544196lVwypAcC,active,Home Appliances/Televisions/4K Smart Series
167999,H55P7UX - 55 Inch Google TV,55 Inches,H55P7UX,20231222173045166dgPIykDW,active,Home Appliances/Televisions/4K Smart Series
144799,H50P7UX - 50 Inch Google TV,50 Inches,H50P7UX,20231222172547116PJRRupTS,active,Home Appliances/Televisions/4K Smart Series
124699,H43P7UX - 43 Inch Google TV,43 Inches,H43P7UX,20231222171945303GoZpnQsI,active,Home Appliances/Televisions/Smart Series
556999,H65C900UX - 65 Inch Google TV,65 Inches,H65C900UX,20231222155305791gNxOMOzF,active,Home Appliances/Televisions/OLED Series
399999,H55C900UX - 55 Inch Google TV,55 Inches,H55C900UX,20231222154705496LUtLqfRM,active,Home Appliances/Televisions/OLED Series
768999,H98S900UX - 98 Inch Google TV,98 Inches,H98S900UX,20231222154153558nNdDIBNS,active,Home Appliances/Televisions/QLED Series
317999,H65S900UX - 65 Inch Google TV,65 inches,H65S900UX,20231222153425137fBMfqlqo,active,Home Appliances/Televisions/QLED Series
236999,H55S900UX - 55 Inch Google TV,55 inches,H55S900UX,20231222153000617tyaykBKO,active,Home Appliances/Televisions/QLED Series
276999,H65S800UX - 65 Inch Google TV,65 Inches,H65S800UX,20231222151601506XScCYbUD,active,Home Appliances/Televisions/QLED Series
196899,H55S800UX - 55 Inch Google TV,55 Inches,H55S800UX,20231222150908755pOKRUDbj,active,Home Appliances/Televisions/4K Smart Series
174999,H50S800UX - 50 Inch Google TV,50 Inches,H50S800UX,20231222150147968qIbcJpIo,active,Home Appliances/Televisions/QLED Series
134999,H43S800UX - 43 Inch Google LED,43 Inches,H43S800UX,20231222123140214Izknetrj,active,Home Appliances/Televisions/QLED Series
214999,H65K800UX - 65 Inch Google TV,65 Inches,H65K800UX,20231222122240163aWmygHlT,active,Home Appliances/Televisions/4K Smart Series
142999,H55K800UX - 55 Inch Google TV,55 Inches,H55K800UX,20231222121824497uKMQqAlI,active,Home Appliances/Televisions/4K Smart Series
132399,H50K800UX - 50 Inch Google TV,50 Inches,H50K800UX,20231222120318050VOfJvoHN,active,Home Appliances/Televisions/4K Smart Series
114599,H43K800UX - 43 Inch Google TV,43 Inches,H43K800UX,20231222115902753SqGFUNVg,active,Home Appliances/Televisions/4K Smart Series
111199,H43K800FX - 43 Inch Google TV,43 inches,H43K800FX,20231222114741299PXeSGBhJ,active,Home Appliances/Televisions/Smart Series
83999,H32K800X - 32 Inch Google TV,32 Inches,H32K800X,20231222113515339CMLHFhVO,active,Home Appliances/Televisions/Smart Series
179999,HSU-18RFP - 1.5 Ton RF Series DC Inverter,HSU-18RFP,HSU-18RFP,20231222104222021dXOLuvFL,inactive,Home Appliances/Air Conditioners/Inverter AC
156999,HSU-12RFP - 1 Ton RF Series DC Inverter,HSU-12RFP,HSU-12RFP,20231222102955304GyeTlBDV,inactive,Home Appliances/Air Conditioners/Inverter AC
172999,CSU-18HP(50P) - Candy Max - 1.5 Ton Heat & Cool DC Inverter,Candy Max,CSU-18HP(50P),20231222102102041HkSAvuRM,inactive,Home Appliances/Air Conditioners/Inverter AC
169999,CSU-18HF - 1.5 Ton Heat & Cool DC Inverter,Candy 1.5 Ton (40P),CSU-18HF,20231221150835714jaNDLxtF,active,Home Appliances/Air Conditioners/Inverter AC
145999,CSU-12HF - 1 Ton Heat & Cool DC Inverter,Candy 1 Ton,CSU-12HF,20231221130119780CVTzRGYO,active,Home Appliances/Air Conditioners/Inverter AC
225499,HSU-18HFTCD(W)- 1.5 Ton Thunder Series T3 DC Inverter,T3 Inverter White,HSU-18HFTCD(W),20231221112645423OpgHxGBq,active,Home Appliances/Air Conditioners/Inverter AC
226999,HSU-18HFTCA(S) - 1.5 Ton Thunder Series T3 DC Inverter,T3 Inverter Silver,HSU-18HFTCA(S),20231221104106659LQmUCuPF,active,Home Appliances/Air Conditioners/Inverter AC
38999,Computer Zone Hk8 Pro Max 2.12 Inch Amoled Screen Smart Watch Ultra 49mm Men Series 8 Nfc Wireless Charging Sports Watch (Orange) Computer Zone Hk8 Pro Max 2.12 Inch Amoled Screen Smart Watch Ultra 49mm Men Series 8 Nfc Wireless Charging Sports Watch,100/1000/111111,,20230904082119208URhjSZHV,inactive,Home Appliances/Air Conditioners/Non Inverter AC
38998,,100/1000/222,,,,
38997,,100/1000/333,,,,
37003,,100/200/111111,,,,
38995,,100/200/222,,,,
38994,,100/200/333,,,,
38993,,100/300/111111,,,,
38992,,100/300/222,,,,
38991,,100/300/333,,,,
38990,,20/1000/111111,,,,
38921,,20/1000/222,,,,
38922,,20/1000/333,,,,
38923,,20/200/111111,,,,
38924,,20/200/222,,,,
38925,,20/200/333,,,,
38926,,20/300/111111,,,,
38927,,20/300/222,,,,
38928,,20/300/333,,,,
38929,,30/1000/111111,,,,
38930,,30/1000/222,,,,
38999,,30/1000/333,,,,
38999,,30/200/111111,,,,
38999,,30/200/222,,,,
38999,,30/200/333,,,,
38999,,30/300/111111,,,,
38999,,30/300/222,,,,
38999,,30/300/333,,,,
37000,32L Red Ribbon Grill Series Microwave (HMN-32100EGB),HMN-32100EGB - 32L,,20230809113252791JHcgyAKh,inactive,Home Appliances/Kitchen Appliances/Microwaves
37000,32L Red Ribbon Grill Series Microwave (HMN-32100EGB),HMN-32100EGB - 32L,,20230809112328332gCregrXZ,inactive,Home Appliances/Kitchen Appliances/Microwaves
37000,36L Red Ribbon Grill Series Microwave (HMN-36100EGB),HMN-36100EGB - 36L,,20230718124227259IyVHqvhH,inactive,Home Appliances/Kitchen Appliances/Microwaves
37000,25L Grill Series Microwave (HGN-25100EGB),HGN-25100EGB - 25L,,20230718123918510IORVFpqQ,inactive,Home Appliances/Kitchen Appliances/Microwaves
37000,Hand Wash Series Washing Machine (HWM150-1708),HWM150 1708 - 15KG,,20230707140956569ILzVtiPt,inactive,Home Appliances/Washing Machines/Top Load Fully Automatic
100999,HRF-216 EBS/EBD - 7.5 CFT E-Star Metal Door Series Refrigerator,Gold/HRF-216 - 7 Cu Ft/216 Liter,HRF-216 EBS/EBD,20230705114958394PhQDTfqu,active,Home Appliances/Refrigerators/Non Inverter Refrigerator
82999,HWM-120AS - 12KG Twin Tub Semi Automatic Washing Machine,HWM-120AS - 12KG,HWM-120AS,20230703061824908xLaBGVtC,active,Home Appliances/Washing Machines/Twin Tub Semi Automatic
